335,PD,6x01
336,Med,4x01
337,Fire,7x01
338,Law & Order: SVU,20x01
339,Law & Order: SVU,20x02
340,Fire,7x02
341,Med,4x02
342,PD,6x02
343,Med,4x03
344,Law & Order: SVU,20x03
345,Fire,7x03
346,PD,6x03
347,Law & Order: SVU,20x04
348,Med,4x04
349,Fire,7x04
350,PD,6x04
351,Med,4x05
352,Fire,7x05
353,PD,6x05
354,Law & Order: SVU,20x06
355,Med,4x06
356,Fire,7x06
357,PD,6x06
358,Law & Order: SVU,20x07
359,Med,4x07
360,Fire,7x07
361,Law & Order: SVU,20x08
362,Med,4x08
363,PD,6x07
364,Fire,7x08
365,Fire,7x09
366,Fire,7x10
367,Law & Order: SVU,20x09
368,Law & Order: SVU,20x10
369,PD,6x08
370,Med,4x09
371,PD,6x09
372,PD,6x10
373,PD,6x11
374,Med,4x10
375,Med,4x11
376,Fire,7x11
377,Law & Order: SVU,20x12
378,Med,4x12
379,Fire,7x12
380,PD,6x12
381,Law & Order: SVU,20x13
382,Med,4x13
383,Fire,7x13
384,PD,6x13
385,Law & Order: SVU,20x14
386,Med,4x14
387,Fire,7x14
388,PD,6x14
389,Med,4x15
390,Fire,7x15
391,PD,6x15
392,Law & Order: SVU,20x16
393,Med,4x16
394,Fire,7x16
395,PD,6x16
396,Law & Order: SVU,20x17
397,Med,4x17
398,Fire,7x17
399,PD,6x17
400,Med,4x18
401,Fire,7x18
402,Law & Order: SVU,20x20
403,Med,4x19
404,Fire,7x19
405,PD,6x18
406,PD,6x19
407,Law & Order: SVU,20x22
408,Med,4x20
409,PD,6x20
410,Law & Order: SVU,20x23
411,Med,4x21
412,PD,6x21
413,Law & Order: SVU,20x24
414,Med,4x22
415,Med,5x01
416,PD,6x22
417,PD,7x01
418,Fire,7x20
419,Fire,7x21
420,Fire,7x22
