480,PD,8x01
481,PD,8x02
482,Med,6x01
483,Fire,9x01
484,Fire,9x02
485,Med,6x02
486,Fire,9x03
487,Med,6x03
488,PD,8x03
489,PD,8x04
490,Fire,9x04
491,Fire,9x05
492,PD,8x05
493,Med,6x04
494,Med,6x05
495,Med,6x06
496,Fire,9x06
497,PD,8x06
498,Med,6x07
499,Fire,9x07
500,PD,8x07
501,Med,6x08
502,Med,6x09
503,PD,8x08
504,Fire,9x08
505,Fire,9x09
506,PD,8x09
507,Med,6x10
508,Fire,9x10
509,PD,8x10
510,Med,6x11
511,Fire,9x11
512,PD,8x11
513,Med,6x12
514,Fire,9x12
515,PD,8x12
516,Med,6x13
517,PD,8x13
518,Med,6x14
519,PD,8x14
520,Fire,9x13
521,Fire,9x14
522,PD,8x15
523,PD,8x16
524,PD,9x01
525,Med,6x15
526,Med,6x16
527,Fire,9x15
528,Fire,9x16
