524,PD,9x01
529,Fire,10x01
530,Med,7x01
531,Fire,10x02
532,Fire,10x03
533,PD,9x02
534,Med,7x02
535,Med,7x03
536,Fire,10x04
537,Fire,10x05
538,Med,7x04
539,PD,9x03
540,Fire,10x06
541,Fire,10x07
542,PD,9x04
543,PD,9x05
544,Fire,10x08
545,PD,9x06
546,Med,7x05
547,PD,9x07
548,Med,7x06
549,PD,9x08
550,PD,9x09
551,PD,9x10
552,Fire,10x09
553,Fire,10x10
554,Fire,10x11
555,Med,7x07
556,Med,7x08
557,Med,7x09
558,Med,7x10
559,PD,9x11
560,Med,7x11
561,Fire,10x12
562,Fire,10x13
563,PD,9x12
564,Med,7x12
565,Med,7x13
566,PD,9x13
567,Med,7x14
568,Fire,10x14
569,Fire,10x15
570,Med,7x15
571,PD,9x14
572,PD,9x15
573,Fire,10x16
574,Med,7x16
575,Med,7x17
576,PD,9x16
577,Fire,10x17
578,PD,9x17
579,Med,7x18
580,Fire,10x18
581,PD,9x18
582,PD,9x19
583,Med,7x19
584,PD,9x20
585,Med,7x20
586,PD,9x21
587,PD,9x22
588,Fire,10x19
589,Fire,10x20
590,Fire,10x21
591,Fire,10x22
592,Med,7x21
593,Med,7x22
