63,Fire,3x01
64,PD,2x01
65,Fire,3x02
66,PD,2x02
67,PD,2x03
68,Fire,3x03
69,Fire,3x04
70,PD,2x04
71,PD,2x05
72,Fire,3x05
73,Fire,3x06
74,PD,2x06
75,Fire,3x07
76,Law & Order: SVU,16x07
77,PD,2x07
78,Fire,3x08
79,PD,2x08
80,Fire,3x09
81,PD,2x09
82,PD,2x10
83,Fire,3x10
84,Fire,3x11
85,PD,2x11
86,PD,2x12
87,Fire,3x12
88,Fire,3x13
89,PD,2x13
90,PD,2x14
91,Fire,3x14
92,Fire,3x15
93,PD,2x15
94,Fire,3x16
95,Fire,3x17
96,PD,2x16
97,Fire,3x18
98,PD,2x17
99,PD,2x18
100,Fire,3x19
101,PD,2x19
102,Fire,3x20
103,Fire,3x21
104,PD,2x20
105,Law & Order: SVU,16x20
106,PD,2x21
107,PD,2x22
108,PD,2x23
109,Fire,3x22
110,Fire,3x23
