594,Med,8x01
595,Fire,11x01
596,Fire,11x02
597,PD,10x01
598,PD,10x02
599,Fire,11x03
600,Med,8x02
601,Fire,11x04
602,Med,8x03
603,PD,10x03
604,PD,10x04
605,Med,8x04
606,Med,8x05
607,Fire,11x05
608,PD,10x05
609,PD,10x06
610,Med,8x06
611,Fire,11x06
612,Med,8x07
613,PD,10x07
614,Fire,11x07
615,PD,10x08
616,PD,10x09
617,Med,8x08
618,Fire,11x08
619,Med,8x09
620,Fire,11x09
621,Fire,11x10
622,Med,8x10
623,PD,10x10
624,Fire,11x11
625,Med,8x11
626,PD,10x11
627,Fire,11x12
628,Med,8x12
629,PD,10x12
630,Fire,11x13
631,Med,8x13
632,PD,10x13
633,Med,8x14
634,Fire,11x14
635,Fire,11x15
636,PD,10x14
637,Med,8x15
638,PD,10x15
639,Med,8x16
640,Fire,11x16
641,Med,8x17
642,PD,10x16
643,Fire,11x17
644,Med,8x18
645,PD,10x17
646,PD,10x18
647,Med,8x19
648,Fire,11x18
649,Fire,11x19
650,PD,10x19
651,Med,8x20
652,PD,10x20
653,Med,8x21
654,Med,8x22
655,PD,10x21
656,PD,10x22
657,Fire,11x20
658,Fire,11x21
659,Fire,11x22
